artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
A Boogie wit da Hoodie Featuring Offset & Tyga,0,77.44,44,0,0,,
Marty Wilde,0,65.38,35,0,0,,
Bazzi,1,29.41,596,0,0,,
Ludacris Co-Starring Lil Wayne,0,65.0,1,0,0,,
Seduction,1,45.17,819,0,0,0.34,0.776
Cheryl Lynn,6,61.4,286,0,0,,
Kelly Clarkson & Brett Eldredge,0,69.67,2,0,0,,
XXXTENTACION,5,55.07,1628,0,0,,
Gucci Mane Featuring Slim Jxmmi & Young Dolph,0,95.0,1,0,0,,
Jimmy Beaumont And The Skyliners,0,100.0,1,0,0,,
Lil' Boosie Featuring Yung Joc,1,73.25,77,0,0,,
Sir Douglas Quintet,4,49.13,263,0,0,,
Suzi Quatro,7,65.72,193,0,0,,
Afrique,0,63.11,44,0,0,,
Wiz Khalifa Featuring Rae Sremmurd,0,83.0,1,0,0,,
Kanye West Featuring Dwele,1,44.75,209,0,0,,
Mariah Carey Featuring YG,0,89.0,1,0,0,,
Teddy & The Twilights,0,72.75,35,0,0,,
Tia,0,97.0,2,0,0,,
Jung Kook Featuring Latto,0,42.73,105,0,0,,
Travis Scott Featuring Young Thug & M.I.A.,0,43.22,44,0,0,,
Vanity,2,78.07,54,0,0,,
Taylor Swift Featuring Ed Sheeran & Future,1,51.23,98,0,0,,
R. Kelly Featuring The Game,0,78.71,20,0,0,,
Judy Cheeks,0,74.4,14,0,0,,
The Tams,6,60.39,205,0,0,,
Miley Cyrus & Billy Ray Cyrus,0,71.33,5,0,0,,
Chris Montez,5,48.35,388,0,0,,
Ohio Express,2,44.44,356,0,0,,
Gina Go-Go,0,87.0,65,0,0,,
G-Eazy Featuring Chris Brown & Tory Lanez,0,98.0,1,0,0,,
Richard Marx & Donna Lewis,1,56.25,209,0,0,,
Lauren Alaina,6,75.57,79,0,0,,
Blake Shelton Featuring Pistol Annies & Friends,0,29.57,230,0,0,,
PIKOTARO,0,85.5,7,0,0,,
The Jones Girls,0,61.09,65,0,0,,
Joe Walsh,10,53.11,499,0,0,,
Larry Lee,0,81.5,2,0,0,,
The Strangers,0,77.14,27,0,0,,
Curtis Stigers,1,45.77,209,0,0,,
Lazy Racer,0,86.5,9,0,0,,
The Five Du-Tones,0,68.92,77,0,0,,
Max Werner,0,84.83,20,0,0,,
Gyrl,0,93.4,14,0,0,,
What Is This,0,69.5,20,0,0,,
Pitbull Featuring Trina & Young Bo$$,1,94.0,41,0,0,,
Kenny G. (Vocal By Lenny Williams),0,50.53,189,0,0,,
Deane Hawley,1,50.67,65,0,0,,
Freedy Johnston,1,75.58,77,0,0,,
Walter Jackson,13,88.54,56,0,0,,
Shawn Mendes X Zedd,1,68.88,133,0,0,,
Tyler| the Creator Featuring A$AP Rocky,0,89.0,1,0,0,,
Kane Brown With Jelly Roll,0,88.13,31,0,0,,
The Jewels,0,74.5,54,0,0,,
Tyler| the Creator Featuring Madison McFerrin,0,70.5,2,0,0,,
Public Announcement,3,28.97,287,0,0,,
Janey Street,0,75.4,14,0,0,,
Rachel Sweet,0,81.0,14,0,0,,
Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,2,58.37,168,0,0,,
Paul Wall,0,56.81,135,0,0,,
Idina Menzel & Evan Rachel Wood,0,87.33,5,0,0,,
Sagittarius,2,84.57,16,0,0,,
First Choice,4,65.46,220,0,0,,
Mana Featuring Prince Royce,0,100.0,1,0,0,,
Peter Mccann,0,31.82,252,0,0,,
Kasenetz-Katz Singing Orchestral Circus,0,47.09,65,0,0,,
Tufano & Giammarese,0,85.25,28,0,0,,
LISA,3,84.25,2,0,0,,
Frankie Avalon,18,46.36,1472,0,0,,
Marty Balin,2,45.75,340,0,0,,
The West Coast Rap All-Stars,0,57.0,135,0,0,,
The Outhere Brothers,1,78.9,209,0,0,,
Lil' Wayne Featuring Juvenile & B.G.,1,86.18,65,0,0,,
Drake Featuring Latto,0,85.0,1,0,0,,
Don Toliver Featuring Kodak Black,0,79.0,2,0,0,,
Faith Evans Featuring Carl Thomas,0,74.0,209,0,0,,
Billy Satellite,1,80.82,34,0,0,,
All City,0,85.75,9,0,0,,
Cat Stevens,8,42.26,936,0,0,0.45,0.352
Janet Featuring J. Cole,0,65.0,1,0,0,,
Kanye West & Lil Pump,0,39.0,77,0,0,,
Carly Pearce,6,72.45,305,0,0,,
The Lonely Island Featuring Akon,0,69.55,65,0,0,,
Rusty Draper,3,74.35,64,0,0,,
Stars On,0,51.4,54,0,0,,
Autograph,1,59.0,189,0,0,,
K'Naan Featuring Nelly Furtado,0,95.5,2,0,0,,
The Cowsills,2,39.88,464,0,0,,
Clocks,0,74.0,14,0,0,,
City Girls Featuring Cardi B,1,54.0,88,0,0,,
The Bar-Kays,10,61.62,207,0,0,,
Cast Of Rent,1,64.75,74,0,0,,
Gorillaz Featuring Shaun Ryder,0,95.6,6,0,0,,
Dragon,0,91.0,9,0,0,,
Opus,0,54.44,135,0,0,,
The Pack,0,76.0,5,0,0,,
Julie Monday,0,97.0,2,0,0,,
The Firm,1,64.89,168,0,0,,
Frederick Knight,0,41.86,104,0,0,,
Raymond Lefevre and His Orchestra,10,52.67,121,0,0,,
SWV (Featuring Puff Daddy),0,46.0,209,0,0,,
WC & The Maad Circle,0,94.0,54,0,0,,
Rene & Rene,5,42.7,112,0,0,,
Dave Edmunds,15,58.55,262,0,0,,
V With Park Hyo Shin,0,99.0,1,0,0,,
Frank Lucas,0,93.33,5,0,0,,
Robert Hazard,0,69.78,44,0,0,,
Anitta Featuring Cardi B & Myke Towers,0,91.0,1,0,0,,
Diesel,1,53.72,170,0,0,,
6ix9ine Featuring Bobby Shmurda,0,65.78,44,0,0,,
Gypsy,1,70.88,35,0,0,,
Boomkat,0,88.0,2,0,0,,
The Honeycombs,1,38.95,117,0,0,,
The Boys,2,47.29,308,0,0,,
Freak Nasty Featuring Crazy Mike,0,59.33,5,0,0,,
Genya Ravan,0,93.33,5,0,0,,
Drake Featuring Birdman,0,89.0,1,0,0,,
Dick Flood,0,45.75,35,0,0,,
Shane Minor,0,89.29,27,0,0,,
Crossfade,1,90.74,275,0,0,,
The Mar-Keys,0,93.8,11,0,0,,
All Time Low,0,67.0,1,0,0,,
Patti LaBelle & Michael McDonald,0,32.22,275,0,0,,
Bruce Cockburn,5,54.0,157,0,0,,
Central Cee Featuring 21 Savage,0,86.5,2,0,0,,
Koe Wetzel & jessie murph,1,38.55,819,0,0,,
AFI,1,60.44,220,0,0,,
The Archies,2,38.14,521,0,0,,
Charlene & Stevie Wonder,1,60.45,65,0,0,,
Zach Bryan Featuring Gabriella Rose,0,79.0,2,0,0,,
Jimmy Elledge,1,49.07,112,0,0,,
Kim Mitchell,0,88.44,44,0,0,,
Tower of Power,4,59.33,413,0,0,,
QB Finest Featuring Nas & Bravehearts,0,53.65,209,0,0,,
Lady Gaga Featuring Colby O'Donis,1,28.2,1221,0,0,,
Samantha Cole,0,84.8,14,0,0,,
Johnny Kemp,1,48.63,334,0,0,,
Lil Durk Featuring Doodie Lo,0,95.0,1,0,0,,
Chris Brown Featuring Lil Wayne,0,33.95,209,0,0,,
Sweet Sensation,15,52.54,1026,0,0,,
Felix Slatkin Orchestra and Chorus,0,82.25,27,0,0,,
British Lions,0,88.5,9,0,0,,
Rick Ross Featuring Nelly & Avery Storm,0,61.64,104,0,0,,
Rick Nelson And The Stone Canyon Band,1,44.38,203,0,0,,
Chris Brown Featuring Jack Harlow,0,78.0,1,0,0,,
George Fischoff,0,96.4,14,0,0,,
Conner Smith,0,93.0,1,0,0,,
Waylon & Willie,6,58.94,175,0,0,,
Beyonce Featuring The Weeknd,0,42.67,5,0,0,0.516,0.555
Matt Nathanson Featuring Sugarland,0,53.0,1,0,0,,
Bobby Edwards,1,54.83,172,0,0,,
"The Miracles (featuring Bill ""Smokey"" Robinson)",1,23.5,135,0,0,,
Chris Brown & Young Thug,1,19.35,1377,0,0,,
Unit Four plus Two,0,59.27,46,0,0,,
Rick Ross Featuring T-Pain,0,41.4,209,0,0,,
R. Kelly Featuring Keith Murray,1,79.44,135,0,0,,
Jamie Foxx Featuring Twista,0,66.0,104,0,0,,
Eartha Kitt With Henri Rene And His Orchestra,4,36.5,57,0,0,,
Vivian Green,0,64.74,189,0,0,,
Jeanne Black,1,46.48,123,0,0,,
Future Featuring Gunna & Young Thug,0,24.0,1,0,0,,
The Yardbirds,2,41.04,431,0,0,,
James Newton Howard Featuring Jennifer Lawrence,1,41.29,152,0,0,,
Cold,0,92.6,209,0,0,,
Philly's Most Wanted,0,98.4,14,0,0,,
John Hunter,1,62.19,135,0,0,,
Chuck Berry,67,51.9,1044,0,0,,
WC Featuring Nate Dogg,0,87.92,90,0,0,,
Christina Aguilera Featuring Lil' Kim,0,31.45,209,0,0,,
Fred Knoblock,0,44.57,104,0,0,,
Donna Lewis,1,31.0,979,0,0,,
Bill Anderson,16,59.84,162,0,0,0.615,0.313
Eddie Holman,11,50.51,206,0,0,,
Morgan Wallen Featuring Chris Stapleton,0,90.0,1,0,0,,
Beenie Man Featuring Ms. Thing,0,55.73,350,0,0,,
Travis Scott Featuring Lil Uzi Vert & Kanye West,0,57.8,14,0,0,,
Red Rider,4,73.77,47,0,0,,
Dru Hill Featuring Redman,1,21.4,209,0,0,,
Johnny Burnette,1,38.45,353,0,0,,
Whistling Jack Smith,0,34.57,27,0,0,,
The Lost Trailers,0,83.62,90,0,0,,
The Fireflies Featuring Ritchie Adams,0,90.33,2,0,0,,
Justin Bieber & Benny Blanco,1,27.2,209,0,0,,
Lloyd Banks Featuring Juelz Santana,0,69.69,132,0,0,,
Chad Brock With Hank Williams Jr. & George Jones,1,86.67,5,0,0,,
Pusha T Featuring Kanye West & Kid Cudi,0,78.0,1,0,0,,
Eric Clapton And His Band,3,45.34,467,0,0,,
Metro Boomin & Future Featuring Don Toliver,0,55.0,1,0,0,,
David Guetta Featuring Akon,1,28.18,816,0,0,,
The J. Geils Band,14,50.71,1231,0,0,,
Paul Stookey,0,41.86,104,0,0,,
Fabulous Poodles,0,85.25,9,0,0,,
Rage Against the Machine,1,87.35,209,0,0,,
Sinead O'Connor,0,41.37,274,0,0,,
Hodges| James And Smith,0,97.17,20,0,0,,
Passenger,1,26.33,945,0,0,,
Jeff Carson,0,98.0,2,0,0,,
Suzanne Fellini,0,88.0,2,0,0,,
Peter Allen,0,70.5,35,0,0,,
Pia Mia Featuring Chris Brown & Tyga,0,80.55,65,0,0,,
Real Boston Richey,1,67.52,434,0,0,,
Peter Schilling,6,53.38,306,0,0,,
Rampage Featuring Billy Lawrence,0,59.12,152,0,0,,
Jung Kook & Jack Harlow,0,70.78,36,0,0,0.554,0.303
Benny Blanco & Juice WRLD Featuring Brendon Urie,0,90.5,20,0,0,,
Justin Hayward,0,63.15,90,0,0,,
Bounty Killer Featuring Mobb Deep & Rappin' Noyd,0,87.57,27,0,0,,
David Cook,1,57.34,608,0,0,,
Jay-Z + Alicia Keys,1,13.7,464,0,0,,
Wendy And Lisa,0,70.5,54,0,0,,
Mat Kearney,5,82.86,211,0,0,,
Jimmy Castor,1,53.11,44,0,0,,
Big Brother And The Holding Company,0,47.78,117,0,0,,
112 Featuring Lil'z,0,33.0,324,0,0,,
Sound Factory,1,73.35,152,0,0,,
HARDY Featuring Lainey Wilson,1,55.5,592,0,0,,
Glorilla & T-Pain,0,82.14,27,0,0,,
Chanson,1,43.19,135,0,0,,
Styles,0,52.05,209,0,0,,
Charli xcx Featuring Ariana Grande,0,60.5,2,0,0,,
Josh Groban & The African Children's Choir,0,77.0,2,0,0,,
Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,0,23.0,209,0,0,,
J. Frank Wilson and The Cavaliers,10,43.59,135,0,0,,
Yeat Featuring YoungBoy Never Broke Again,0,83.0,1,0,0,,
Jackson Dean,0,67.8,117,0,0,,
Lil' Wayne Featuring Baby| Mack 10 & Mickey,0,97.67,5,0,0,,
Cerrone,1,67.54,49,0,0,,
Allan Clarke,2,65.29,63,0,0,0.515,0.649
Honeymoon Suite,4,68.78,299,0,0,,
Rotary Connection,1,96.0,2,0,0,,
Mario Winans Featuring Enya & P. Diddy,0,19.73,464,0,0,,
John O'Banion,0,46.23,90,0,0,,
G Unit,5,46.42,170,0,0,,
Ivo Robic and The Song-Masters,0,39.35,152,0,0,,
Mistress,1,62.89,44,0,0,,
Arizona Zervas,1,11.58,350,0,0,,
UTFO,0,87.4,14,0,0,,
James,0,72.92,90,0,0,,
Melissa Manchester & Peabo Bryson,0,70.56,44,0,0,,
504 Boyz,0,56.22,170,0,0,,
Cliff DeYoung,0,43.0,119,0,0,,
The Four Knights,0,87.67,5,0,0,,
Kate Taylor,0,62.71,27,0,0,,
Christina Grimmie,0,75.67,1,0,0,,
Smilez & Southstar,0,50.94,135,0,0,,
Bad Bunny & RaiNao,0,55.2,14,0,0,,
Hi Tek 3 Featuring Ya Kid K,0,82.86,27,0,0,,
The Texans,0,100.0,1,0,0,,
MC Luscious Featuring Kinsui,0,84.5,9,0,0,,
Gucci Mane Featuring Usher,1,71.06,135,0,0,,
Purple Reign,1,67.88,35,0,0,,
Chaka Demus & Pliers,1,72.12,152,0,0,,
Crazy Frog,0,72.71,27,0,0,,
Jellybean Featuring Catherine Buchanan,1,44.17,170,0,0,,
Cazz,0,75.2,14,0,0,,
Young Thug & Gunna Featuring Travis Scott,0,46.0,1,0,0,,
Jules Shear,0,71.0,27,0,0,,
Walter Murphy,0,68.56,44,0,0,,
Teri DeSario With K.C.,1,41.97,295,0,0,,
Trippie Redd Featuring SoFaygo,0,86.0,1,0,0,,
Delbert & Glen,0,91.0,5,0,0,,
Marlowe Morris Quintet,0,95.0,1,0,0,,
Tommy Tucker,0,42.46,67,0,0,,
The Rollers,0,84.0,5,0,0,,
M83.,0,79.75,209,0,0,,
Thee Prophets,0,66.63,35,0,0,,
Sly & The Family Stone,6,38.61,1139,0,0,,
The Playmates,4,48.54,273,0,0,,
Drake Featuring Alicia Keys,0,71.0,1,0,0,,
Bizarre Inc,0,54.83,275,0,0,,
Yung Bleu Featuring Drake,1,38.17,272,0,0,,
Trina Featuring Ludacris,0,90.36,104,0,0,,
The Beau-Marks,0,68.0,104,0,0,,
Sweeney Todd Featuring Bryan Guy Adams,0,99.0,1,0,0,,
Jerry Wallace,14,54.38,509,0,0,,
The Gibson Brothers,0,87.0,14,0,0,,
Blackgirl,0,86.06,95,0,0,,
Bobby Byrd,2,84.25,28,0,0,,
A+,2,73.0,109,0,0,,
The Weeknd & Playboi Carti,1,24.24,860,0,0,,
Bill Parsons,1,24.81,135,0,0,,
Will Smith Featuring Dru Hill & Kool Mo Dee,0,22.0,152,0,0,,
Luis Fonsi & Demi Lovato,1,75.58,203,0,0,,
Wale Featuring Sam Dew,0,93.75,35,0,0,,
Gorillaz Featuring George Benson,0,85.0,1,0,0,,
The Shells,1,41.88,35,0,0,,
Sam Smith & Demi Lovato,0,60.5,9,0,0,,
Shabba Ranks (Featuring Johnny Gill),1,56.11,189,0,0,,
Tory Lanez Featuring Snoop Dogg,0,87.0,1,0,0,,
Ray Kennedy,0,84.33,5,0,0,,
The New Seekers featuring Marty Kristian,0,88.4,14,0,0,,
Michael Parks,0,42.67,77,0,0,,
The Chainsmokers & Bebe Rexha,0,70.29,104,0,0,,
Johnny Maestro The Voice Of The Crests,0,49.33,44,0,0,,
The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards,0,25.89,44,0,0,,
Drake Featuring Pimp C & Dvsn,0,81.0,1,0,0,,
Kenny G With Peabo Bryson,0,57.05,209,0,0,,
Bruce Channel,5,48.72,155,0,0,,
Mary MacGregor,4,52.83,391,0,0,,
Carrie Underwood & John Legend,0,78.0,5,0,0,,
John Travolta,2,52.36,299,0,0,,
Python Lee Jackson,0,71.3,54,0,0,,
Anuel AA| Daddy Yankee| Karol G| Ozuna & J Balvin,1,65.39,152,0,0,,
Bow Wow Featuring T-Pain & Johnta Austin,0,48.05,209,0,0,,
Ray J Featuring Lil' Kim,0,54.88,152,0,0,,
Le Sserafim,0,87.67,2,0,0,,
Vance Joy,1,47.77,989,0,0,,
Tela Featuring Eightball & MJG,0,69.25,35,0,0,,
Murray Head,0,34.1,209,0,0,,
Nicki Minaj Featuring Drake| Lil Wayne & Chris Brown,1,26.48,324,0,0,,
Runt-Todd Rundgren,0,82.0,16,0,0,,
MAGIC!,1,22.02,860,0,0,,
The Peppermint Trolley Company,0,70.5,54,0,0,,
Anuel AA| Mambo Kingz & DJ Luian,0,83.0,1,0,0,,
Dickey Lee,15,45.78,359,0,0,,
Ginny Arnell,1,74.75,75,0,0,,
VEDO,1,88.06,110,0,0,,
Next,3,22.01,2144,0,0,,
The Raelets/Ray Charles Orchestra,0,82.5,20,0,0,,
MGK,1,82.57,15,0,0,,
Dina Carroll,0,96.5,2,0,0,,
The Bravery,0,97.0,1,0,0,,
Hi-Five,3,43.75,1119,0,0,,
Andrea Carroll,0,63.56,44,0,0,,
Rae Sremmurd & Travis Scott,0,98.0,1,0,0,,
Kanye West Featuring Lil Wayne,1,70.0,5,0,0,,
Pop Smoke Featuring Rick Ross & The-Dream,0,82.0,1,0,0,,
Diana Williams,0,77.33,20,0,0,,
Nas Featuring will.i.am,1,62.4,14,0,0,,
Beastie Boys Featuring Nas,0,93.0,1,0,0,,
Richie Rich,1,75.14,209,0,0,,
Bingo Boys Featuring Princessa,0,51.21,104,0,0,,
The Weeknd & Future,0,60.0,1,0,0,,
John Dawson Read,0,84.0,7,0,0,,
DJ Snake Featuring Bipolar Sunshine,0,45.14,230,0,0,,
Tim McGraw With Taylor Swift,0,42.25,207,0,0,,
Industry,1,89.5,35,0,0,,
Edgar Winter's White Trash,1,85.47,74,0,0,,
Fabolous Featuring Mike Shorey,0,79.0,44,0,0,,
The Fuzz,0,57.88,219,0,0,,
Sims Twins,1,69.22,38,0,0,,
Drake Featuring Lil Wayne,5,46.23,1047,0,0,,
Lee Dorsey,8,48.73,381,0,0,,
The Bell Notes,1,52.52,153,0,0,,
Ray| Goodman & Brown,0,46.97,233,0,0,,
42 Dugg Featuring Future,0,83.78,33,0,0,,
The Beatles With Billy Preston,0,14.69,86,0,0,,
Dr. Hook,7,46.65,1994,0,0,,
The Brass Ring featuring Phil Bodner,1,53.94,71,0,0,,
"Timbaland Featuring Missy ""Misdemeanor"" Elliott & Magoo",0,94.5,9,0,0,,
Crime Mob Featuring Lil Scrappy,3,68.55,418,0,0,,
The Blendells,0,75.63,35,0,0,,
Yung Joc Featuring Gorilla Zoe,0,78.0,1,0,0,,
707,2,76.6,64,0,0,,
The McCoys,3,47.83,274,0,0,0.553,0.826
Mulatto,0,96.33,5,0,0,,
Leon Hayward,0,96.33,5,0,0,,
The Fleetwoods,4,42.48,746,0,0,0.778,0.626
Claudine Clark,0,34.47,119,0,0,,
Frankee,0,72.29,27,0,0,,
1910 Fruitgum Co.,1,42.09,461,0,0,0.4,0.771
Chance the Rapper Featuring Ty Dolla $ign,0,93.0,1,0,0,,
The Frank Barber Orch.,0,75.83,77,0,0,,
Jellybean Featuring Elisa Fiorillo,0,41.47,119,0,0,,
Demi Lovato Featuring Cher Lloyd,1,51.72,168,0,0,,
The Walker Bros.,1,46.0,112,0,0,,
James Gang,1,73.21,63,0,0,,
Zach Bryan Featuring The War And Treaty,1,65.9,209,0,0,,
Kendrick Lamar & Taylour Paige,0,56.5,2,0,0,,
Ludacris Featuring Bobby Valentino,0,29.9,209,0,0,,
Machine Gun Kelly & CORPSE,0,88.0,1,0,0,,
Joe Damiano,0,94.33,2,0,0,,
Derek Martin,0,84.5,20,0,0,,
KIDS SEE GHOSTS Featuring Louis Prima,0,42.0,1,0,0,0.443,0.57
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,0,30.36,405,0,0,,
Yazoo,0,78.63,35,0,0,,
J. Cole Featuring Trey Songz,1,63.3,209,0,0,,
McGuinn| Clark & Hillman,0,53.55,65,0,0,,
Bob Kuban And The In-Men,0,53.59,75,0,0,,
Lil' Kim Featuring Sisqo,1,86.67,37,0,0,,
The Sherrys,1,60.0,35,0,0,,
Pat Zill,0,91.0,1,0,0,,
Kane Brown With Swae Lee & Khalid,0,32.14,230,0,0,,
Lil Nas X Featuring Doja Cat,0,42.0,1,0,0,,
Northern Light,0,92.67,20,0,0,,
Meek Mill Featuring Chris Brown & Ty Dolla $ign,0,73.69,88,0,0,,
Springwell,0,68.7,54,0,0,,
Eternity's Children,0,75.71,27,0,0,,
Al Casey,0,64.25,35,0,0,,
The Frogmen,0,69.25,35,0,0,,
Kevon Edmonds,1,46.35,209,0,0,0.315,0.7
Do Or Die (Featuring Twista),0,38.7,209,0,0,,
Chilliwack,11,61.7,409,0,0,,
JIN,2,52.0,1,0,0,,
David Lee Murphy & Kenny Chesney,0,78.69,90,0,0,,
Quincy Jones Featuring Babyface & Tamia With Portrai,0,83.44,44,0,0,,
Ringo Starr,12,34.0,838,0,0,,
Field Mob Featuring Ciara,0,31.43,230,0,0,,
B.o.B Featuring T.I. & Playboy Tre,0,72.0,1,0,0,,
The Headboys,0,77.0,14,0,0,,
The Soup Dragons,3,70.86,184,0,0,,
Franke & The Knockouts,1,44.62,398,0,0,,
White Lion,1,56.8,764,0,0,,
Rosalia,0,75.92,77,0,0,0.687,0.681
Pigmeat Markham,0,42.38,35,0,0,,
Elton John & LeAnn Rimes,0,61.4,54,0,0,,
Brass Construction,1,53.14,212,0,0,,
Matthew Wilder,1,49.04,568,0,0,,
The Roommates,0,61.78,44,0,0,,
Nicki Minaj Featuring Lil Wayne,7,81.17,120,0,0,,
Chayce Beckham,0,68.7,209,0,0,0.455,0.692
Christopher Atkins,0,82.86,27,0,0,,
Flash,0,48.0,77,0,0,,
Yeat Featuring Lil Uzi Vert,0,77.0,1,0,0,,
Danny Peppermint and the Jumping Jacks,0,65.75,9,0,0,,
PARTYNEXTDOOR Featuring Drake,4,73.0,296,0,0,,
Metro Boomin| Travis Scott & Young Thug,1,78.42,186,0,0,,
R. Kelly Featuring Jay-Z,0,28.29,230,0,0,,
Ke$ha Featuring Lil Wayne| Wiz Khalifa| T.I. & Andre 3000,1,44.0,1,0,0,,
Zach Bryan Featuring The Lumineers,0,57.5,20,0,0,,
The LOX [Featuring DMX & Lil' Kim],0,45.05,209,0,0,,
Frankie Ford,2,64.56,193,0,0,,
Larry Bright,0,94.67,2,0,0,,
KRS-One,3,79.83,175,0,0,,
Bow Wow Featuring Ciara,0,18.0,230,0,0,,
Aleman X Neton Vega,0,73.0,33,0,0,,
Grace Potter & The Nocturnals,0,95.0,1,0,0,,
The Badlees,0,77.45,65,0,0,,
The Hollywood Stars,0,96.5,9,0,0,,
Master P Featuring Silkk the Shocker| Sons Of Funk And Mo B. Dick,0,46.0,135,0,0,,
Philly Devotions,0,96.0,2,0,0,,
DaBaby & Nicki Minaj,0,43.0,1,0,0,,
Rome,0,36.67,559,0,0,,
Blue October,1,55.81,614,0,0,,
The Conscious Daughters,0,61.73,119,0,0,,
DaBaby Featuring Future & jetsonmade,0,53.0,1,0,0,,
Tico And The Triumphs,1,99.0,1,0,0,,
Macklemore & Ryan Lewis Featuring Mary Lambert,0,47.23,461,0,0,,
Tate McRae Featuring Flo Milli,0,64.0,1,0,0,,
Wale Featuring Usher,0,78.0,189,0,0,,
Edward Byrnes & Connie Stevens,0,23.69,90,0,0,,
Ray And Bob,0,99.0,1,0,0,,
Jennifer Rush,0,72.69,90,0,0,,
Cochise & $NOT,0,87.75,2,0,0,,
Charlie Dore,0,39.94,152,0,0,,
Bob Welch,2,44.7,500,0,0,,
Young Thug With Post Malone & A$AP Rocky,0,68.0,1,0,0,,
Phil Seymour,0,48.44,135,0,0,,
Djo,0,34.38,230,0,0,,
Dan Fogelberg/Tim Weisberg,1,47.57,104,0,0,,
6ix9ine Featuring DJ SPINKING,0,56.6,14,0,0,,
Joe Featuring G-Unit,0,79.0,104,0,0,,
Atlanta Rhythm Section,7,50.87,926,0,0,,
S.S.O.,0,99.75,9,0,0,,
Duane Eddy,4,76.28,126,0,0,,
Justin Bieber Featuring Jaden Smith,1,61.05,183,0,0,,
Anna King,0,74.17,20,0,0,,
LMFAO Featuring Lauren Bennett & GoonRock,1,22.31,2343,0,0,,
Johnnie & Joe,0,90.5,2,0,0,,
The Hardtimes,1,98.0,2,0,0,,
Lil Baby & Rylo Rodriguez Featuring Rod Wave,0,66.5,2,0,0,,
Eminem Featuring Young M.A,0,66.5,2,0,0,,
The Five Emprees,0,83.33,20,0,0,,
O'Bryan,0,71.33,44,0,0,,
Fabolous Featuring Jermaine Dupri,1,51.8,209,0,0,,
Johnny Cash With The Gene Lowery Singers,1,95.0,2,0,0,,
Phill Wilson,0,93.0,2,0,0,,
Shai,4,41.92,1458,0,0,,
Lee Andrews And The Hearts,0,70.0,2,0,0,,
Jay Z Kanye West,1,42.43,732,0,0,,
Brent Faiyaz Featuring Joony,0,97.0,1,0,0,,
Latto Featuring LU KALA,0,83.0,1,0,0,,
Colby O'Donis Featuring Akon,0,32.56,324,0,0,,
Right Said Fred,1,35.46,257,0,0,,
Metro Boomin| A$AP Rocky & Roisee,0,65.25,9,0,0,,
Del Shannon,21,47.5,824,0,0,,
Paul Wall Featuring Lil' KeKe,0,72.0,1,0,0,,
The Dubs,0,91.17,20,0,0,,
Rex Smith,0,38.63,135,0,0,,
Kygo & OneRepublic,0,88.0,1,0,0,,
The Flirtations,0,60.79,104,0,0,,
Basia,2,58.86,351,0,0,,
Walker Hayes,5,41.18,1508,0,0,,
Shelby Flint,6,57.89,104,0,0,,
Insane Clown Posse,1,79.2,14,0,0,,
Beyonce| Linda Martell & Shaboozey,0,31.0,1,0,0,,
The S.O.U.L. S.Y.S.T.E.M.,1,56.25,135,0,0,,
Neil Young / Crazy Horse,1,79.4,14,0,0,,
Candlebox,1,58.56,445,0,0,,
Alesso / Katy Perry,0,94.5,7,0,0,,
The Left Banke,1,38.2,146,0,0,,
St. Lunatics,0,93.8,14,0,0,,
Sunday,1,98.0,2,0,0,,
Summer Walker| Pharrell Williams & The Neptunes,0,77.0,1,0,0,,
Aretha Franklin with The Dixie Flyers,0,31.44,89,0,0,,
Charlie Ross,1,64.58,41,0,0,,
Martha Wash,0,93.0,2,0,0,,
Kenny Starr,0,68.6,14,0,0,,
The Four-Evers,0,82.0,9,0,0,,
H-Town/Al B. Sure!,0,69.13,135,0,0,,
PARTYNEXTDOOR & Drake,0,63.25,14,0,0,,
Royel Otis,0,94.0,1,0,0,,
Pooh Shiesty Featuring BIG30,0,79.57,27,0,0,,
Ozuna Featuring Feid,0,89.25,9,0,0,,
Heaven Bound with Tony Scotti,1,86.29,58,0,0,,
Mary J. Blige Featuring Ja Rule,0,34.4,209,0,0,,
Kygo Featuring Miguel,0,76.45,65,0,0,,
John Denver & Sylvie Vartan,0,89.25,9,0,0,,
Nico & Vinz,1,36.02,572,0,0,,
PARTYNEXTDOOR| Drake & Yebba,0,62.25,77,0,0,,
Polo G & Future,0,69.0,1,0,0,,
Tegan and Sara Featuring The Lonely Island,0,66.67,5,0,0,,
The Outlaws,0,50.7,54,0,0,,
Pickettywitch,0,76.83,77,0,0,,
Chuck Willis,0,63.82,41,0,0,,
Pete Rock & C.L. Smooth,3,74.45,133,0,0,,
Level 42,1,49.32,565,0,0,,
Young Jeezy Featuring Akon,1,20.25,299,0,0,,
Larray,0,81.0,1,0,0,,
Gary O',0,81.6,14,0,0,,
Andy & David Williams,0,94.5,9,0,0,,
Jameson Rodgers,1,63.29,135,0,0,,
Phoebe & Maggie,0,57.0,1,0,0,,
S-Express,0,95.0,20,0,0,,
Margaret Whiting,1,55.5,65,0,0,,
