artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Flo Rida Featuring Sia,0,26.39,661,0,1,,
Dirty Vegas,0,42.85,209,1,2,,
Elvis Crespo,0,90.0,2,1,2,,
Della Reese,8,52.17,294,0,3,,
Rod McKuen,0,82.83,18,1,4,,
Lupe Fiasco Featuring Matthew Santos,2,37.24,209,0,1,,
BT,0,98.0,5,0,1,,
The Cure,10,58.94,903,0,2,,
Joe Nichols,12,67.05,1675,0,3,,
Peter Frampton,10,40.62,979,1,4,,
Christopher Cross,5,38.61,1421,3,6,,
*NSYNC,26,30.85,2010,0,1,0.817,0.686
Etta Jones,1,75.0,62,0,2,,
Floetry,0,50.15,209,0,5,,
Wyclef Jean,0,20.45,209,0,1,,
Billy Dean,0,76.73,65,0,1,,
Sam Smith & Kim Petras,1,13.6,629,1,1,,
Brandi Carlile,0,75.0,1,4,10,,
Whitney Houston,27,36.65,5791,6,20,,
Judy Collins,12,55.71,719,1,6,,
for KING & COUNTRY,0,94.0,1,1,1,,
Lady Antebellum,12,54.1,5385,5,10,,
Clairo,0,98.0,1,0,1,,
Johnny Paycheck,0,91.0,2,0,2,,
The Killers,8,53.11,1577,0,5,,
Melissa Manchester,10,51.4,1152,1,3,,
Mac Davis,11,55.61,1054,0,2,0.39,0.838
Daniel Bedingfield,1,29.32,439,0,1,,
War,11,40.96,1420,0,1,,
Akon Featuring Snoop Dogg,1,22.34,434,0,1,,
Buckcherry,2,49.27,508,0,2,,
Patti Page,10,66.08,729,1,1,,
Logic Featuring Alessia Cara & Khalid,1,34.41,867,0,1,0.369,0.585
Crystal Gayle,8,56.76,837,1,10,,
ScHoolboy Q,5,74.8,88,0,1,,
Maxi Priest,4,52.22,734,0,2,,
Lil Uzi Vert,8,56.52,2273,0,1,0.465,0.721
"Richard ""Groove"" Holmes",0,99.5,2,0,1,,
Chamillionaire Featuring Krayzie Bone,0,22.45,495,1,1,,
Kesha,8,34.04,230,0,2,,
Count Basie,0,92.0,44,8,16,,
The Clash,3,51.26,664,1,1,,
Stephanie Mills,8,55.07,490,1,3,0.334,0.786
Christina Aguilera Featuring Redman,1,68.65,209,0,1,,
Abra Moore,0,76.31,90,0,1,,
Everclear,4,58.11,409,0,1,,
Chaka Khan,14,62.33,954,4,10,,
Raheem DeVaughn,0,88.62,45,0,2,,
Bobby Goldsboro,11,55.36,1095,0,2,,
Pete Townshend,6,50.86,342,0,2,,
Young Gunz,0,38.1,209,0,1,,
Dionne Farris,0,23.84,740,0,1,,
Bobby Brown,7,36.94,2177,1,2,,
Nancy Wilson,8,62.25,312,3,7,0.322,0.472
Regina Belle,6,71.61,305,0,3,,
Keith Washington,7,65.04,180,0,1,,
The Art Of Noise Featuring Duane Eddy,0,67.45,65,1,1,,
Waylon Jennings,7,65.65,206,0,6,,
Bryan Ferry,12,64.0,99,0,1,,
Wes Montgomery,1,64.71,70,2,3,,
Color Me Badd,7,37.63,2160,0,2,,
Rick Ross,0,73.13,256,0,1,,
Tim McGraw & Faith Hill,0,76.33,2,0,1,,
Marvin Sapp,0,92.92,90,0,7,,
Duffy,0,57.85,209,1,3,,
Jamiroquai,0,89.38,35,1,3,,
Pebbles,3,38.66,820,0,2,,
Tyrese,5,53.22,1320,0,4,,
Doja Cat,6,38.17,5482,0,12,,
Sara Bareilles,7,41.41,2023,1,5,,
Helen Reddy,10,43.5,2182,1,2,,
The Statler Brothers,10,54.31,143,3,12,,
Paulina Rubio,4,75.29,142,0,2,,
Donald Fagen,6,64.84,138,0,3,,
Kenny Loggins,15,49.29,2809,1,6,,
Little River Band,9,41.63,2250,0,1,,
Big Sean,8,56.16,657,0,1,,
Meredith Brooks,1,33.2,518,0,1,,
Ray Parker Jr.,42,43.86,1068,0,1,,
DJ Khaled Featuring Nipsey Hussle & John Legend,0,49.0,2,1,1,,
Stevie Nicks With Tom Petty And The Heartbreakers,0,27.24,230,0,1,,
Will Smith,7,30.74,1227,2,3,,
Bobbie Gentry,9,52.06,350,3,8,,
Lightning Seeds,2,61.53,121,0,1,,
Vanilla Ice,1,40.71,418,0,1,,
Summer Walker,6,64.38,506,0,1,0.588,0.465
Jazmine Sullivan,13,68.99,627,2,11,,
Lynn Anderson,5,60.33,272,1,5,,
Puff Daddy Featuring R. Kelly,1,35.05,209,0,1,,
Sean Paul,10,35.28,2459,1,9,,
Lamont Dozier,2,54.6,261,0,1,,
Barry White,22,40.42,1359,2,7,,
Plain White T's,5,44.53,1076,0,1,0.517,0.655
Roy Orbison,29,40.91,1805,1,3,0.875,0.425
A Tribe Called Quest,24,71.56,360,0,4,,
Dawn Featuring Tony Orlando,3,45.76,517,0,1,,
Ja Rule Featuring Case,1,19.92,324,0,1,,
The Verve,0,47.55,209,0,1,,
